epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1546.74,1.04866,0.76812,1,0.58976,0.000411985,0.000411985,0.000411985
1,1584.21,1.04866,0.76812,1,0.58976,0.000411985,0.000411985,0.000411985
2,2189.94,0.53825,0.79952,1,0.60714,0.000787633,0.000787633,0.000787633
2,2228.5,0.53825,0.79952,1,0.60714,0.000787633,0.000787633,0.000787633
3,2888.95,0.43005,0.84783,1,0.49321,0.00112203,0.00112203,0.00112203
3,2923.38,0.43005,0.84783,1,0.49321,0.00112203,0.00112203,0.00112203
4,3675.22,0.35923,0.85507,1,0.4963,0.00106437,0.00106437,0.00106437
4,3690.09,0.35923,0.85507,1,0.4963,0.00106437,0.00106437,0.00106437
5,4308.55,0.31199,0.83575,1,0.50796,0.0010025,0.0010025,0.0010025
5,4322.2,0.31199,0.83575,1,0.50796,0.0010025,0.0010025,0.0010025
6,4915.53,0.29775,0.86715,1,0.407,0.000940625,0.000940625,0.000940625
6,4923.08,0.29775,0.86715,1,0.407,0.000940625,0.000940625,0.000940625
7,5486,0.21064,0.88406,1,0.41737,0.00087875,0.00087875,0.00087875
7,5504.32,0.21064,0.88406,1,0.41737,0.00087875,0.00087875,0.00087875
8,6094.29,0.21176,0.86957,1,0.38835,0.000816875,0.000816875,0.000816875
8,6102.21,0.21176,0.86957,1,0.38835,0.000816875,0.000816875,0.000816875
9,6690.52,0.18601,0.8744,1,0.39427,0.000755,0.000755,0.000755
9,6710.71,0.18601,0.8744,1,0.39427,0.000755,0.000755,0.000755
10,7289.55,0.17192,0.86957,1,0.46997,0.000693125,0.000693125,0.000693125
10,7307.7,0.17192,0.86957,1,0.46997,0.000693125,0.000693125,0.000693125
11,7879.41,0.14756,0.88406,1,0.40027,0.00063125,0.00063125,0.00063125
11,7889.54,0.14756,0.88406,1,0.40027,0.00063125,0.00063125,0.00063125
12,8431.08,0.13555,0.88406,1,0.40494,0.000569375,0.000569375,0.000569375
12,8445.34,0.13555,0.88406,1,0.40494,0.000569375,0.000569375,0.000569375
13,9030.94,0.11027,0.88164,1,0.41144,0.0005075,0.0005075,0.0005075
13,9036.16,0.11027,0.88164,1,0.41144,0.0005075,0.0005075,0.0005075
14,9648.97,0.11703,0.87923,1,0.42881,0.000445625,0.000445625,0.000445625
14,9639.52,0.11703,0.87923,1,0.42881,0.000445625,0.000445625,0.000445625
15,10282.2,0.09522,0.88164,1,0.42621,0.00038375,0.00038375,0.00038375
15,10274.1,0.09522,0.88164,1,0.42621,0.00038375,0.00038375,0.00038375
16,10924.9,0.10192,0.87923,1,0.44007,0.000321875,0.000321875,0.000321875
16,10897.2,0.10192,0.87923,1,0.44007,0.000321875,0.000321875,0.000321875
17,11417.3,0.07562,0.87923,1,0.4338,0.00026,0.00026,0.00026
17,11387,0.07562,0.87923,1,0.4338,0.00026,0.00026,0.00026
18,11769,0.0656,0.87681,1,0.43053,0.000198125,0.000198125,0.000198125
18,11734.5,0.0656,0.87681,1,0.43053,0.000198125,0.000198125,0.000198125
19,12091.7,0.07507,0.8913,1,0.42084,0.00013625,0.00013625,0.00013625
19,12056.7,0.07507,0.8913,1,0.42084,0.00013625,0.00013625,0.00013625
20,12345.3,0.06625,0.88647,1,0.39726,7.4375e-05,7.4375e-05,7.4375e-05
20,12306.4,0.06625,0.88647,1,0.39726,7.4375e-05,7.4375e-05,7.4375e-05
