epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,276.884,1.02914,0.74396,1,0.65045,0.000411932,0.000411932,0.000411932
2,519.264,0.51288,0.81401,1,0.52092,0.000801255,0.000801255,0.000801255
3,800.523,0.43136,0.843,1,0.45391,0.00116308,0.00116308,0.00116308
4,1080.15,0.34615,0.81401,1,0.546,0.00112625,0.00112625,0.00112625
5,1465.75,0.31081,0.85507,1,0.45791,0.001085,0.001085,0.001085
6,1815.82,0.273,0.86473,1,0.45072,0.00104375,0.00104375,0.00104375
7,2187.32,0.24245,0.87198,1,0.44802,0.0010025,0.0010025,0.0010025
8,2403.1,0.20897,0.85749,1,0.50837,0.00096125,0.00096125,0.00096125
9,2630.31,0.17182,0.87681,1,0.42907,0.00092,0.00092,0.00092
10,2928.15,0.17634,0.88164,1,0.45876,0.00087875,0.00087875,0.00087875
11,3238.69,0.17194,0.88647,1,0.43071,0.0008375,0.0008375,0.0008375
12,3631.3,0.16547,0.87681,1,0.42732,0.00079625,0.00079625,0.00079625
13,4029.69,0.12211,0.87923,1,0.43568,0.000755,0.000755,0.000755
14,4370.89,0.14857,0.88647,1,0.41225,0.00071375,0.00071375,0.00071375
15,4572.22,0.11464,0.88647,1,0.36274,0.0006725,0.0006725,0.0006725
16,4754.78,0.10902,0.8913,1,0.42003,0.00063125,0.00063125,0.00063125
17,4938.08,0.10847,0.89855,1,0.4398,0.00059,0.00059,0.00059
18,5122.4,0.07751,0.86957,1,0.52054,0.00054875,0.00054875,0.00054875
19,5304.92,0.10978,0.90097,1,0.39411,0.0005075,0.0005075,0.0005075
20,5500.3,0.09175,0.9058,1,0.38222,0.00046625,0.00046625,0.00046625
21,6817.76,0.07879,0.89855,1,0.37753,0.000425,0.000425,0.000425
22,7228.26,0.06167,0.89614,1,0.37769,0.00038375,0.00038375,0.00038375
23,7636.83,0.07347,0.90097,1,0.42285,0.0003425,0.0003425,0.0003425
24,8537.6,0.07762,0.9058,1,0.48423,0.00030125,0.00030125,0.00030125
25,8800,0.05368,0.90097,1,0.40634,0.00026,0.00026,0.00026
26,9054.36,0.05124,0.90821,1,0.40284,0.00021875,0.00021875,0.00021875
27,9310.8,0.05304,0.90338,1,0.4297,0.0001775,0.0001775,0.0001775
28,9565.45,0.05202,0.90097,1,0.41494,0.00013625,0.00013625,0.00013625
29,9820.08,0.06375,0.90338,1,0.41057,9.5e-05,9.5e-05,9.5e-05
30,10074.9,0.04699,0.90097,1,0.42368,5.375e-05,5.375e-05,5.375e-05
