epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,265.071,1.02914,0.74396,1,0.65045,0.000411932,0.000411932,0.000411932
2,519.741,0.51288,0.81401,1,0.52092,0.000801255,0.000801255,0.000801255
3,776.38,0.43136,0.843,1,0.45391,0.00116308,0.00116308,0.00116308
4,1029.07,0.34615,0.81401,1,0.546,0.00112625,0.00112625,0.00112625
5,1284.51,0.31081,0.85507,1,0.45791,0.001085,0.001085,0.001085
6,1538.28,0.273,0.86473,1,0.45072,0.00104375,0.00104375,0.00104375
7,1733.54,0.24245,0.87198,1,0.44802,0.0010025,0.0010025,0.0010025
8,1910.58,0.20897,0.85749,1,0.50837,0.00096125,0.00096125,0.00096125
9,2088.45,0.17182,0.87681,1,0.42907,0.00092,0.00092,0.00092
10,2266.62,0.17634,0.88164,1,0.45876,0.00087875,0.00087875,0.00087875
11,2445.68,0.17194,0.88647,1,0.43071,0.0008375,0.0008375,0.0008375
12,2622.9,0.16547,0.87681,1,0.42732,0.00079625,0.00079625,0.00079625
13,2800.6,0.12211,0.87923,1,0.43568,0.000755,0.000755,0.000755
14,2978.21,0.14857,0.88647,1,0.41225,0.00071375,0.00071375,0.00071375
15,3155.7,0.11464,0.88647,1,0.36274,0.0006725,0.0006725,0.0006725
16,3333.56,0.10902,0.8913,1,0.42003,0.00063125,0.00063125,0.00063125
17,3512.29,0.10847,0.89855,1,0.4398,0.00059,0.00059,0.00059
18,3689.96,0.07751,0.86957,1,0.52054,0.00054875,0.00054875,0.00054875
19,3896.62,0.10978,0.90097,1,0.39411,0.0005075,0.0005075,0.0005075
20,32073.5,0.09175,0.9058,1,0.38222,0.00046625,0.00046625,0.00046625
21,32464.7,0.07879,0.89855,1,0.37753,0.000425,0.000425,0.000425
