epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,423.907,1.10566,0.76812,1,0.69084,0.0703409,0.00329545,0.00329545
2,843.62,0.59596,0.82367,1,0.46079,0.0400426,0.00633049,0.00633049
3,1262.23,0.4487,0.80918,1,0.48886,0.00944432,0.00906553,0.00906553
4,1676.03,0.34817,0.8599,1,0.43527,0.00865,0.00865,0.00865
5,2088.77,0.25475,0.8744,1,0.3962,0.0082,0.0082,0.0082
6,2504.95,0.19591,0.8744,1,0.46209,0.00775,0.00775,0.00775
7,2922.13,0.17402,0.88406,1,0.40002,0.0073,0.0073,0.0073
8,3331.91,0.14597,0.90821,1,0.34893,0.00685,0.00685,0.00685
9,3741.35,0.12037,0.9058,1,0.3657,0.0064,0.0064,0.0064
10,4151.19,0.11206,0.90338,1,0.36814,0.00595,0.00595,0.00595
11,31492.7,0.1133,0.89855,1,0.37712,0.0055,0.0055,0.0055
12,31855.6,0.09485,0.89372,1,0.40563,0.00505,0.00505,0.00505
13,32208,0.10999,0.89614,1,0.37464,0.0046,0.0046,0.0046
14,32556.9,0.10965,0.9058,1,0.39215,0.00415,0.00415,0.00415
15,32908.3,0.10376,0.90821,1,0.35537,0.0037,0.0037,0.0037
16,33260.7,0.06955,0.91063,1,0.37712,0.00325,0.00325,0.00325
17,33610.1,0.07521,0.90821,1,0.35633,0.0028,0.0028,0.0028
18,33960,0.06912,0.90338,1,0.38,0.00235,0.00235,0.00235
19,34308.9,0.07133,0.91063,1,0.37404,0.0019,0.0019,0.0019
20,34658.1,0.06058,0.91063,1,0.36607,0.00145,0.00145,0.00145
