epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,210.101,0.85764,0.64493,1,0.99245,0.0703409,0.00329545,0.00329545
2,419.51,0.85969,0.45652,1,1.57634,0.0402097,0.00649754,0.00649754
3,629.163,0.92911,0.64251,1,1.00441,0.00994641,0.00956762,0.00956762
4,840.409,0.9411,0.55797,1,2.25037,0.009406,0.009406,0.009406
5,1053.46,0.86587,0.73188,1,0.8206,0.009208,0.009208,0.009208
6,1264.39,0.72725,0.72705,1,0.93829,0.00901,0.00901,0.00901
7,1475.02,0.78359,0.70048,1,0.94606,0.008812,0.008812,0.008812
8,1685.58,0.77337,0.71739,1,0.76125,0.008614,0.008614,0.008614
9,1895.16,0.71858,0.73188,1,0.67195,0.008416,0.008416,0.008416
10,2104.21,0.6509,0.73913,1,0.79111,0.008218,0.008218,0.008218
11,2313.4,0.63581,0.74396,1,0.7135,0.00802,0.00802,0.00802
12,2522.53,0.63319,0.76812,1,0.65831,0.007822,0.007822,0.007822
13,2731.28,0.63375,0.7657,1,0.68862,0.007624,0.007624,0.007624
14,2939.18,0.59834,0.72464,1,0.81364,0.007426,0.007426,0.007426
15,3147.36,0.57307,0.79469,1,0.71653,0.007228,0.007228,0.007228
16,3355.65,0.58268,0.77778,1,0.68269,0.00703,0.00703,0.00703
17,3565.15,0.57237,0.80193,1,0.66771,0.006832,0.006832,0.006832
18,8972.67,0.54008,0.79227,1,0.7108,0.006634,0.006634,0.006634
19,9184.94,0.55758,0.78261,1,0.61831,0.006436,0.006436,0.006436
20,9394.85,0.53743,0.80193,1,0.7455,0.006238,0.006238,0.006238
21,9605.4,0.49769,0.77295,1,0.65736,0.00604,0.00604,0.00604
22,9815.66,0.4862,0.77778,1,0.688,0.005842,0.005842,0.005842
23,10026.5,0.49928,0.81643,1,0.56976,0.005644,0.005644,0.005644
