epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,338.091,1.02933,0.80815,1,0.47969,0.000412138,0.000412138,0.000412138
2,665.02,0.53566,0.80815,1,0.45338,0.000787779,0.000787779,0.000787779
3,866.438,0.45627,0.84892,1,0.36641,0.00112217,0.00112217,0.00112217
4,1059.65,0.35595,0.8801,1,0.33774,0.00106437,0.00106437,0.00106437
5,1267.16,0.3026,0.85851,1,0.32883,0.0010025,0.0010025,0.0010025
6,1468.55,0.27011,0.89448,1,0.53075,0.000940625,0.000940625,0.000940625
7,1669.89,0.23104,0.88969,1,0.27767,0.00087875,0.00087875,0.00087875
8,1855.26,0.18201,0.88489,1,0.28156,0.000816875,0.000816875,0.000816875
9,2030.89,0.15548,0.89209,1,0.28497,0.000755,0.000755,0.000755
10,2206.46,0.17356,0.90647,1,0.51699,0.000693125,0.000693125,0.000693125
11,35001.9,0.131,0.90408,1,0.2585,0.00063125,0.00063125,0.00063125
12,35322.4,0.12367,0.90408,1,0.285,0.000569375,0.000569375,0.000569375
13,35720.9,0.11134,0.92326,1,0.21549,0.0005075,0.0005075,0.0005075
14,36106.7,0.104,0.90408,1,0.27782,0.000445625,0.000445625,0.000445625
15,36491.1,0.11114,0.91127,1,0.26343,0.00038375,0.00038375,0.00038375
16,36876.3,0.09756,0.91367,1,0.51428,0.000321875,0.000321875,0.000321875
17,37263.2,0.08234,0.91607,1,0.24888,0.00026,0.00026,0.00026
18,37649.1,0.08444,0.90887,1,0.26673,0.000198125,0.000198125,0.000198125
19,38030.4,0.07289,0.92086,1,0.24107,0.00013625,0.00013625,0.00013625
20,38415.9,0.07581,0.92326,1,0.23514,7.4375e-05,7.4375e-05,7.4375e-05
