epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,358.763,0.84338,0.65459,1,1.75633,0.0703409,0.00329545,0.00329545
2,709.111,0.91937,0.62802,1,1.46077,0.0402097,0.00649754,0.00649754
3,1056.33,0.90922,0.59903,1,1.13331,0.00994641,0.00956762,0.00956762
4,1405.32,0.91946,0.7029,1,0.90308,0.009406,0.009406,0.009406
5,1760.95,0.89612,0.65942,1,0.79593,0.009208,0.009208,0.009208
6,2112.93,0.80116,0.66425,1,0.86001,0.00901,0.00901,0.00901
7,2477.35,0.77047,0.73913,1,0.74305,0.008812,0.008812,0.008812
8,2880.91,0.73202,0.71498,1,0.71015,0.008614,0.008614,0.008614
9,3290.96,0.71795,0.76329,1,0.65354,0.008416,0.008416,0.008416
10,3697.02,0.63303,0.76812,1,0.73371,0.008218,0.008218,0.008218
11,4077.11,0.65003,0.77295,1,0.72506,0.00802,0.00802,0.00802
12,4453.33,0.63488,0.78261,1,0.73331,0.007822,0.007822,0.007822
13,4822.75,0.60357,0.80193,1,0.58585,0.007624,0.007624,0.007624
14,5196.35,0.60454,0.71498,1,0.81299,0.007426,0.007426,0.007426
15,5572.82,0.58448,0.78986,1,0.58515,0.007228,0.007228,0.007228
16,5951.01,0.56154,0.7657,1,0.63121,0.00703,0.00703,0.00703
17,6325.39,0.5768,0.79469,1,0.68013,0.006832,0.006832,0.006832
18,6701.73,0.55183,0.77536,1,0.63453,0.006634,0.006634,0.006634
19,7075.37,0.55438,0.78261,1,0.79046,0.006436,0.006436,0.006436
20,7453,0.52681,0.78019,1,0.57517,0.006238,0.006238,0.006238
21,7827.65,0.49731,0.75604,1,0.74571,0.00604,0.00604,0.00604
22,8220.28,0.51196,0.81643,1,0.65167,0.005842,0.005842,0.005842
23,8570.24,0.50066,0.8285,1,0.54548,0.005644,0.005644,0.005644
24,8898.35,0.44615,0.83575,1,0.52788,0.005446,0.005446,0.005446
25,9225.8,0.46037,0.78744,1,0.59785,0.005248,0.005248,0.005248
26,9556.08,0.47203,0.80435,1,0.6758,0.00505,0.00505,0.00505
27,9882.17,0.45926,0.82367,1,0.50353,0.004852,0.004852,0.004852
28,10209.7,0.46198,0.82609,1,0.54101,0.004654,0.004654,0.004654
29,10536.3,0.44907,0.83092,1,0.54751,0.004456,0.004456,0.004456
30,10861.4,0.44532,0.83575,1,0.57863,0.004258,0.004258,0.004258
31,11191.4,0.42177,0.85266,1,0.52044,0.00406,0.00406,0.00406
32,11516.8,0.4333,0.86473,1,0.57585,0.003862,0.003862,0.003862
33,17124.7,0.3924,0.84058,1,0.47965,0.003664,0.003664,0.003664
34,17451.4,0.38998,0.83816,1,0.52895,0.003466,0.003466,0.003466
35,17787.9,0.39945,0.85507,1,0.51372,0.003268,0.003268,0.003268
36,18113.2,0.38454,0.84783,1,0.54049,0.00307,0.00307,0.00307
37,18437.9,0.3635,0.85507,1,0.54548,0.002872,0.002872,0.002872
38,18775.3,0.33697,0.86957,1,0.48028,0.002674,0.002674,0.002674
39,19104.3,0.38165,0.85749,1,0.47087,0.002476,0.002476,0.002476
40,19409,0.36756,0.87198,1,0.46838,0.002278,0.002278,0.002278
41,49723.9,0.33557,0.83575,1,0.5232,0.00208,0.00208,0.00208
42,49951.9,0.3154,0.83575,1,0.56249,0.001882,0.001882,0.001882
43,50178.2,0.30026,0.86715,1,0.53068,0.001684,0.001684,0.001684
44,50405,0.2892,0.85507,1,0.50763,0.001486,0.001486,0.001486
45,50632,0.31333,0.86715,1,0.53405,0.001288,0.001288,0.001288
46,50860.2,0.29295,0.8744,1,0.52406,0.00109,0.00109,0.00109
47,51087.3,0.28367,0.86715,1,0.51558,0.000892,0.000892,0.000892
48,51313.8,0.26703,0.87198,1,0.51443,0.000694,0.000694,0.000694
49,51540.5,0.2644,0.88164,1,0.46801,0.000496,0.000496,0.000496
50,51784.7,0.24271,0.88406,1,0.47167,0.000298,0.000298,0.000298
