epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,254.503,0.99173,0.78502,1,0.65021,0.000411932,0.000411932,0.000411932
2,500.737,0.44331,0.82609,1,0.50124,0.000812192,0.000812192,0.000812192
3,739.933,0.34769,0.84783,1,0.4731,0.00119595,0.00119595,0.00119595
4,977.937,0.30803,0.84783,1,0.49954,0.00117575,0.00117575,0.00117575
5,1216.01,0.32578,0.83816,1,0.6137,0.001151,0.001151,0.001151
6,1453.75,0.26126,0.8913,1,0.42192,0.00112625,0.00112625,0.00112625
7,1691.54,0.24358,0.86715,1,0.50992,0.0011015,0.0011015,0.0011015
8,1929.67,0.19918,0.87923,1,0.53923,0.00107675,0.00107675,0.00107675
9,2167.33,0.14866,0.88406,1,0.5732,0.001052,0.001052,0.001052
10,2404.58,0.16718,0.88406,1,0.43097,0.00102725,0.00102725,0.00102725
11,2641.83,0.13337,0.88164,1,0.50107,0.0010025,0.0010025,0.0010025
12,2879.66,0.14554,0.88889,1,0.53192,0.00097775,0.00097775,0.00097775
13,3117.18,0.13001,0.90338,1,0.47119,0.000953,0.000953,0.000953
14,3354.65,0.1123,0.8913,1,0.51447,0.00092825,0.00092825,0.00092825
15,6818.37,0.10249,0.88647,1,0.53328,0.0009035,0.0009035,0.0009035
16,7072.7,0.10172,0.87923,1,0.54514,0.00087875,0.00087875,0.00087875
17,7315.92,0.09669,0.87681,1,0.5769,0.000854,0.000854,0.000854
18,7556.49,0.0783,0.8744,1,0.57037,0.00082925,0.00082925,0.00082925
19,7797.99,0.08431,0.88406,1,0.5723,0.0008045,0.0008045,0.0008045
20,8039.59,0.07505,0.8744,1,0.58253,0.00077975,0.00077975,0.00077975
21,8279.74,0.06231,0.87681,1,0.59015,0.000755,0.000755,0.000755
22,8520.35,0.07522,0.87923,1,0.50976,0.00073025,0.00073025,0.00073025
23,8762.56,0.07556,0.88647,1,0.491,0.0007055,0.0007055,0.0007055
24,9004.32,0.05179,0.88647,1,0.49342,0.00068075,0.00068075,0.00068075
25,9245.02,0.06755,0.8913,1,0.54642,0.000656,0.000656,0.000656
26,9486.03,0.04194,0.87923,1,0.55901,0.00063125,0.00063125,0.00063125
27,9727.63,0.05732,0.88647,1,0.59175,0.0006065,0.0006065,0.0006065
28,9968.45,0.04831,0.89372,1,0.5406,0.00058175,0.00058175,0.00058175
29,10209.9,0.05907,0.90821,1,0.48211,0.000557,0.000557,0.000557
