epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,493.405,1.05833,0.79469,1,0.63116,0.0702632,0.00330409,0.00330409
2,993.357,0.58812,0.87198,1,0.35932,0.0399645,0.00633874,0.00633874
3,2104.55,0.42296,0.89855,1,0.25024,0.00936579,0.00907339,0.00907339
4,2601.22,0.38793,0.93237,1,0.18239,0.00865,0.00865,0.00865
5,3090.3,0.26807,0.96377,1,0.11151,0.0082,0.0082,0.0082
6,6333.63,0.20612,0.98309,1,0.05886,0.00775,0.00775,0.00775
7,6949,0.15347,0.99517,1,0.03133,0.0073,0.0073,0.0073
8,7546.07,0.17199,0.99517,1,0.0277,0.00685,0.00685,0.00685
9,8145.9,0.12917,0.99758,1,0.01658,0.0064,0.0064,0.0064
10,8729.94,0.12399,1,1,0.01163,0.00595,0.00595,0.00595
11,9309.39,0.11677,0.99758,1,0.00954,0.0055,0.0055,0.0055
12,9889.74,0.08253,1,1,0.00809,0.00505,0.00505,0.00505
13,12356.1,0.09188,0.99517,1,0.01363,0.0046,0.0046,0.0046
14,12848.1,0.09504,0.99758,1,0.01122,0.00415,0.00415,0.00415
15,13334.9,0.09025,0.99758,1,0.00917,0.0037,0.0037,0.0037
16,17228.9,0.06928,0.99758,1,0.00878,0.00325,0.00325,0.00325
17,17715.7,0.06251,0.99758,1,0.00648,0.0028,0.0028,0.0028
18,18196,0.07218,0.99758,1,0.00753,0.00235,0.00235,0.00235
19,18878.8,0.0514,0.99758,1,0.00662,0.0019,0.0019,0.0019
20,19364.6,0.06877,0.99758,1,0.00503,0.00145,0.00145,0.00145
