epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,584.194,0.92692,0.81401,1,0.49862,0.000411932,0.000411932,0.000411932
2,1008.97,0.39639,0.88406,1,0.39972,0.000787583,0.000787583,0.000787583
3,1405.51,0.31447,0.8285,1,0.5636,0.00112198,0.00112198,0.00112198
4,1799.4,0.32408,0.81643,1,0.57855,0.00106437,0.00106437,0.00106437
5,2172.06,0.34287,0.86473,1,0.51979,0.0010025,0.0010025,0.0010025
6,2548.02,0.25147,0.85266,1,0.57365,0.000940625,0.000940625,0.000940625
7,2923.72,0.22858,0.8599,1,0.55162,0.00087875,0.00087875,0.00087875
8,3305.5,0.17713,0.87198,1,0.40226,0.000816875,0.000816875,0.000816875
9,3679.41,0.14013,0.87681,1,0.45882,0.000755,0.000755,0.000755
10,4056.89,0.12953,0.89614,1,0.38225,0.000693125,0.000693125,0.000693125
11,4432.89,0.10341,0.89614,1,0.39443,0.00063125,0.00063125,0.00063125
12,4807.13,0.08395,0.88647,1,0.39059,0.000569375,0.000569375,0.000569375
13,5201.42,0.07564,0.9058,1,0.39468,0.0005075,0.0005075,0.0005075
14,5798.06,0.06187,0.90821,1,0.42794,0.000445625,0.000445625,0.000445625
15,6281.45,0.06387,0.9058,1,0.44229,0.00038375,0.00038375,0.00038375
16,6667.11,0.04985,0.90097,1,0.44591,0.000321875,0.000321875,0.000321875
17,7053.74,0.04588,0.9058,1,0.42194,0.00026,0.00026,0.00026
18,7546.75,0.03777,0.89614,1,0.43409,0.000198125,0.000198125,0.000198125
19,7932.85,0.0359,0.89855,1,0.43603,0.00013625,0.00013625,0.00013625
20,8318.36,0.0277,0.89372,1,0.41208,7.4375e-05,7.4375e-05,7.4375e-05
