image_path,label,split
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0573_FAN_FE.jpg,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0576_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0578_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0579_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0580_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0581_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0582_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0583_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0586_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0589_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0591_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0592_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0593_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0595_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0596_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0597_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0598_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0600_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0602_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0603_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0604_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0605_FAN_FE.png,fantasia,train
C:\Users\dalil\Desktop\Tesis_2025\Tutorial_yolo_\Tutorial_yolo\dataset\train\fantasia\IMG0606_FAN_FE.png,fantasia,train
