epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,228.801,1.03848,0.75121,1,0.69713,0.000411932,0.000411932,0.000411932
2,446.236,0.5199,0.79227,1,0.60325,0.000812192,0.000812192,0.000812192
3,667.897,0.43825,0.83092,1,0.50728,0.00119595,0.00119595,0.00119595
4,889.055,0.35802,0.77295,1,0.58776,0.00117575,0.00117575,0.00117575
5,1141.35,0.37202,0.80193,1,0.5679,0.001151,0.001151,0.001151
6,1347.91,0.31716,0.8744,1,0.49312,0.00112625,0.00112625,0.00112625
7,1554.7,0.23806,0.87198,1,0.42247,0.0011015,0.0011015,0.0011015
8,1761.24,0.22376,0.85749,1,0.53262,0.00107675,0.00107675,0.00107675
9,1967.39,0.21985,0.85749,1,0.56556,0.001052,0.001052,0.001052
10,2173.83,0.19401,0.8599,1,0.49468,0.00102725,0.00102725,0.00102725
11,2380.12,0.17584,0.8744,1,0.60939,0.0010025,0.0010025,0.0010025
12,2585.47,0.1762,0.87681,1,0.55626,0.00097775,0.00097775,0.00097775
13,2789.98,0.14292,0.87681,1,0.513,0.000953,0.000953,0.000953
14,2994.62,0.15869,0.8744,1,0.59295,0.00092825,0.00092825,0.00092825
15,3199.09,0.13327,0.88647,1,0.48777,0.0009035,0.0009035,0.0009035
16,3403.52,0.13052,0.87681,1,0.50208,0.00087875,0.00087875,0.00087875
17,3608.98,0.12671,0.88406,1,0.58446,0.000854,0.000854,0.000854
18,3814.36,0.10467,0.86957,1,0.59445,0.00082925,0.00082925,0.00082925
19,4019.78,0.11781,0.86715,1,0.6062,0.0008045,0.0008045,0.0008045
20,4224.56,0.11276,0.8744,1,0.4369,0.00077975,0.00077975,0.00077975
21,4428.58,0.10208,0.89372,1,0.42552,0.000755,0.000755,0.000755
22,4633.48,0.0923,0.89372,1,0.49559,0.00073025,0.00073025,0.00073025
